time,TxCnt
2016-11-27T00:00:00.000Z,9018.0
2016-11-28T00:00:00.000Z,10218.0
2016-11-29T00:00:00.000Z,9934.0
2016-11-30T00:00:00.000Z,9878.0
2016-12-01T00:00:00.000Z,10733.0
2016-12-02T00:00:00.000Z,11725.0
2016-12-03T00:00:00.000Z,13001.0
2016-12-04T00:00:00.000Z,11533.0
2016-12-05T00:00:00.000Z,14047.0
2016-12-06T00:00:00.000Z,16219.0
2016-12-07T00:00:00.000Z,12956.0
2016-12-08T00:00:00.000Z,13000.0
2016-12-09T00:00:00.000Z,13435.0
2016-12-10T00:00:00.000Z,15493.0
2016-12-11T00:00:00.000Z,16390.0
2016-12-12T00:00:00.000Z,16491.0
2016-12-13T00:00:00.000Z,15958.0
2016-12-14T00:00:00.000Z,18667.0
2016-12-15T00:00:00.000Z,21105.0
2016-12-16T00:00:00.000Z,22883.0
2016-12-17T00:00:00.000Z,20047.0
2016-12-18T00:00:00.000Z,18831.0
2016-12-19T00:00:00.000Z,20931.0
2016-12-20T00:00:00.000Z,21387.0
2016-12-21T00:00:00.000Z,18602.0
2016-12-22T00:00:00.000Z,16722.0
2016-12-23T00:00:00.000Z,14405.0
2016-12-24T00:00:00.000Z,15234.0
2016-12-25T00:00:00.000Z,15458.0
2016-12-26T00:00:00.000Z,15568.0
2016-12-27T00:00:00.000Z,15676.0
2016-12-28T00:00:00.000Z,15450.0
2016-12-29T00:00:00.000Z,18000.0
2016-12-30T00:00:00.000Z,20408.0
2016-12-31T00:00:00.000Z,17825.0
2017-01-01T00:00:00.000Z,16152.0
2017-01-02T00:00:00.000Z,16930.0
2017-01-03T00:00:00.000Z,17470.0
2017-01-04T00:00:00.000Z,18135.0
2017-01-05T00:00:00.000Z,18727.0
2017-01-06T00:00:00.000Z,17886.0
2017-01-07T00:00:00.000Z,17191.0
2017-01-08T00:00:00.000Z,17744.0
2017-01-09T00:00:00.000Z,18958.0
2017-01-10T00:00:00.000Z,18895.0
2017-01-11T00:00:00.000Z,15949.0
2017-01-12T00:00:00.000Z,28083.0
2017-01-13T00:00:00.000Z,19107.0
2017-01-14T00:00:00.000Z,17553.0
2017-01-15T00:00:00.000Z,16764.0
2017-01-16T00:00:00.000Z,17274.0
2017-01-17T00:00:00.000Z,17722.0
2017-01-18T00:00:00.000Z,18089.0
2017-01-19T00:00:00.000Z,18785.0
2017-01-20T00:00:00.000Z,19564.0
2017-01-21T00:00:00.000Z,19831.0
2017-01-22T00:00:00.000Z,19672.0
2017-01-23T00:00:00.000Z,19657.0
2017-01-24T00:00:00.000Z,20092.0
2017-01-25T00:00:00.000Z,19997.0
2017-01-26T00:00:00.000Z,18376.0
2017-01-27T00:00:00.000Z,17351.0
2017-01-28T00:00:00.000Z,16353.0
2017-01-29T00:00:00.000Z,16154.0
2017-01-30T00:00:00.000Z,15920.0
2017-01-31T00:00:00.000Z,15993.0
2017-02-01T00:00:00.000Z,16840.0
2017-02-02T00:00:00.000Z,16877.0
2017-02-03T00:00:00.000Z,17186.0
2017-02-04T00:00:00.000Z,16818.0
2017-02-05T00:00:00.000Z,16046.0
2017-02-06T00:00:00.000Z,18188.0
2017-02-07T00:00:00.000Z,19736.0
2017-02-08T00:00:00.000Z,19750.0
2017-02-09T00:00:00.000Z,21373.0
2017-02-10T00:00:00.000Z,19840.0
2017-02-11T00:00:00.000Z,20300.0
2017-02-12T00:00:00.000Z,20467.0
2017-02-13T00:00:00.000Z,21286.0
2017-02-14T00:00:00.000Z,21924.0
2017-02-15T00:00:00.000Z,21094.0
2017-02-16T00:00:00.000Z,20833.0
2017-02-17T00:00:00.000Z,21042.0
2017-02-18T00:00:00.000Z,21090.0
2017-02-19T00:00:00.000Z,21186.0
2017-02-20T00:00:00.000Z,21555.0
2017-02-21T00:00:00.000Z,18222.0
2017-02-22T00:00:00.000Z,22106.0
2017-02-23T00:00:00.000Z,22479.0
2017-02-24T00:00:00.000Z,22082.0
2017-02-25T00:00:00.000Z,21229.0
2017-02-26T00:00:00.000Z,21259.0
2017-02-27T00:00:00.000Z,21323.0
2017-02-28T00:00:00.000Z,21161.0
2017-03-01T00:00:00.000Z,21675.0
2017-03-02T00:00:00.000Z,22199.0
2017-03-03T00:00:00.000Z,20151.0
2017-03-04T00:00:00.000Z,21310.0
2017-03-05T00:00:00.000Z,20562.0
2017-03-06T00:00:00.000Z,19652.0
2017-03-07T00:00:00.000Z,21546.0
2017-03-08T00:00:00.000Z,21193.0
2017-03-09T00:00:00.000Z,20726.0
2017-03-10T00:00:00.000Z,21691.0
2017-03-11T00:00:00.000Z,21248.0
2017-03-12T00:00:00.000Z,21715.0
2017-03-13T00:00:00.000Z,19988.0
2017-03-14T00:00:00.000Z,19815.0
2017-03-15T00:00:00.000Z,20327.0
2017-03-16T00:00:00.000Z,20721.0
2017-03-17T00:00:00.000Z,22700.0
2017-03-18T00:00:00.000Z,20011.0
2017-03-19T00:00:00.000Z,20372.0
2017-03-20T00:00:00.000Z,19976.0
2017-03-21T00:00:00.000Z,21329.0
2017-03-22T00:00:00.000Z,23226.0
2017-03-23T00:00:00.000Z,21245.0
2017-03-24T00:00:00.000Z,21740.0
2017-03-25T00:00:00.000Z,21002.0
2017-03-26T00:00:00.000Z,21130.0
2017-03-27T00:00:00.000Z,21658.0
2017-03-28T00:00:00.000Z,21931.0
2017-03-29T00:00:00.000Z,21851.0
2017-03-30T00:00:00.000Z,22001.0
2017-03-31T00:00:00.000Z,25701.0
2017-04-01T00:00:00.000Z,23609.0
2017-04-02T00:00:00.000Z,22235.0
2017-04-03T00:00:00.000Z,22535.0
2017-04-04T00:00:00.000Z,21279.0
2017-04-05T00:00:00.000Z,20990.0
2017-04-06T00:00:00.000Z,22106.0
2017-04-07T00:00:00.000Z,24051.0
2017-04-08T00:00:00.000Z,22343.0
2017-04-09T00:00:00.000Z,22360.0
2017-04-10T00:00:00.000Z,22677.0
2017-04-11T00:00:00.000Z,21825.0
2017-04-12T00:00:00.000Z,23172.0
2017-04-13T00:00:00.000Z,23048.0
2017-04-14T00:00:00.000Z,21051.0
2017-04-15T00:00:00.000Z,21079.0
2017-04-16T00:00:00.000Z,21363.0
2017-04-17T00:00:00.000Z,21280.0
2017-04-18T00:00:00.000Z,22379.0
2017-04-19T00:00:00.000Z,22935.0
2017-04-20T00:00:00.000Z,24665.0
2017-04-21T00:00:00.000Z,24056.0
2017-04-22T00:00:00.000Z,23012.0
2017-04-23T00:00:00.000Z,23206.0
2017-04-24T00:00:00.000Z,25194.0
2017-04-25T00:00:00.000Z,25246.0
2017-04-26T00:00:00.000Z,25635.0
2017-04-27T00:00:00.000Z,27429.0
2017-04-28T00:00:00.000Z,29065.0
2017-04-29T00:00:00.000Z,23685.0
2017-04-30T00:00:00.000Z,27576.0
2017-05-01T00:00:00.000Z,29397.0
2017-05-02T00:00:00.000Z,28255.0
2017-05-03T00:00:00.000Z,28487.0
2017-05-04T00:00:00.000Z,29753.0
2017-05-05T00:00:00.000Z,28922.0
2017-05-06T00:00:00.000Z,27531.0
2017-05-07T00:00:00.000Z,28806.0
2017-05-08T00:00:00.000Z,31969.0
2017-05-09T00:00:00.000Z,28734.0
2017-05-10T00:00:00.000Z,29038.0
2017-05-11T00:00:00.000Z,27222.0
2017-05-12T00:00:00.000Z,27825.0
2017-05-13T00:00:00.000Z,25471.0
2017-05-14T00:00:00.000Z,18749.0
2017-05-15T00:00:00.000Z,25854.0
2017-05-16T00:00:00.000Z,24740.0
2017-05-17T00:00:00.000Z,25285.0
2017-05-18T00:00:00.000Z,29469.0
2017-05-19T00:00:00.000Z,30521.0
2017-05-20T00:00:00.000Z,26019.0
2017-05-21T00:00:00.000Z,26580.0
2017-05-22T00:00:00.000Z,31772.0
2017-05-23T00:00:00.000Z,28922.0
2017-05-24T00:00:00.000Z,43966.0
2017-05-25T00:00:00.000Z,45696.0
2017-05-26T00:00:00.000Z,36363.0
2017-05-27T00:00:00.000Z,33897.0
2017-05-28T00:00:00.000Z,34206.0
2017-05-29T00:00:00.000Z,32166.0
2017-05-30T00:00:00.000Z,32857.0
2017-05-31T00:00:00.000Z,34299.0
2017-06-01T00:00:00.000Z,32615.0
2017-06-02T00:00:00.000Z,29223.0
2017-06-03T00:00:00.000Z,28432.0
2017-06-04T00:00:00.000Z,32374.0
2017-06-05T00:00:00.000Z,28582.0
2017-06-06T00:00:00.000Z,30170.0
2017-06-07T00:00:00.000Z,30181.0
2017-06-08T00:00:00.000Z,37349.0
2017-06-09T00:00:00.000Z,33369.0
2017-06-10T00:00:00.000Z,29987.0
2017-06-11T00:00:00.000Z,36418.0
2017-06-12T00:00:00.000Z,27086.0
2017-06-13T00:00:00.000Z,31615.0
2017-06-14T00:00:00.000Z,25683.0
2017-06-15T00:00:00.000Z,25695.0
2017-06-16T00:00:00.000Z,24539.0
2017-06-17T00:00:00.000Z,27400.0
2017-06-18T00:00:00.000Z,29842.0
2017-06-19T00:00:00.000Z,30216.0
2017-06-20T00:00:00.000Z,28980.0
2017-06-21T00:00:00.000Z,27233.0
2017-06-22T00:00:00.000Z,25544.0
2017-06-23T00:00:00.000Z,24865.0
2017-06-24T00:00:00.000Z,25505.0
2017-06-25T00:00:00.000Z,29510.0
2017-06-26T00:00:00.000Z,27861.0
2017-06-27T00:00:00.000Z,28377.0
2017-06-28T00:00:00.000Z,27720.0
2017-06-29T00:00:00.000Z,26755.0
2017-06-30T00:00:00.000Z,27736.0
2017-07-01T00:00:00.000Z,26450.0
2017-07-02T00:00:00.000Z,27054.0
2017-07-03T00:00:00.000Z,27180.0
2017-07-04T00:00:00.000Z,29539.0
2017-07-05T00:00:00.000Z,26676.0
2017-07-06T00:00:00.000Z,28244.0
2017-07-07T00:00:00.000Z,28202.0
2017-07-08T00:00:00.000Z,27846.0
2017-07-09T00:00:00.000Z,26309.0
2017-07-10T00:00:00.000Z,28439.0
2017-07-11T00:00:00.000Z,34329.0
2017-07-12T00:00:00.000Z,47310.0
2017-07-13T00:00:00.000Z,42028.0
2017-07-14T00:00:00.000Z,33700.0
2017-07-15T00:00:00.000Z,32902.0
2017-07-16T00:00:00.000Z,33583.0
2017-07-17T00:00:00.000Z,36337.0
2017-07-18T00:00:00.000Z,32690.0
2017-07-19T00:00:00.000Z,30230.0
2017-07-20T00:00:00.000Z,31223.0
2017-07-21T00:00:00.000Z,29200.0
2017-07-22T00:00:00.000Z,26470.0
2017-07-23T00:00:00.000Z,32411.0
2017-07-24T00:00:00.000Z,32797.0
2017-07-25T00:00:00.000Z,30237.0
2017-07-26T00:00:00.000Z,29473.0
2017-07-27T00:00:00.000Z,28923.0
2017-07-28T00:00:00.000Z,29739.0
2017-07-29T00:00:00.000Z,30675.0
2017-07-30T00:00:00.000Z,28705.0
2017-07-31T00:00:00.000Z,31409.0
2017-08-01T00:00:00.000Z,28905.0
2017-08-02T00:00:00.000Z,31253.0
2017-08-03T00:00:00.000Z,39430.0
2017-08-04T00:00:00.000Z,32960.0
2017-08-05T00:00:00.000Z,39393.0
2017-08-06T00:00:00.000Z,35315.0
2017-08-07T00:00:00.000Z,36486.0
2017-08-08T00:00:00.000Z,34177.0
2017-08-09T00:00:00.000Z,32990.0
2017-08-10T00:00:00.000Z,36034.0
2017-08-11T00:00:00.000Z,33348.0
2017-08-12T00:00:00.000Z,34702.0
2017-08-13T00:00:00.000Z,34646.0
2017-08-14T00:00:00.000Z,35650.0
2017-08-15T00:00:00.000Z,34366.0
2017-08-16T00:00:00.000Z,33456.0
2017-08-17T00:00:00.000Z,35875.0
2017-08-18T00:00:00.000Z,35757.0
2017-08-19T00:00:00.000Z,33276.0
2017-08-20T00:00:00.000Z,32274.0
2017-08-21T00:00:00.000Z,35019.0
2017-08-22T00:00:00.000Z,33829.0
2017-08-23T00:00:00.000Z,39405.0
2017-08-24T00:00:00.000Z,37868.0
2017-08-25T00:00:00.000Z,33846.0
2017-08-26T00:00:00.000Z,30405.0
2017-08-27T00:00:00.000Z,36481.0
2017-08-28T00:00:00.000Z,37330.0
2017-08-29T00:00:00.000Z,37559.0
2017-08-30T00:00:00.000Z,37159.0
2017-08-31T00:00:00.000Z,35588.0
2017-09-01T00:00:00.000Z,50233.0
2017-09-02T00:00:00.000Z,44689.0
2017-09-03T00:00:00.000Z,37932.0
2017-09-04T00:00:00.000Z,40688.0
2017-09-05T00:00:00.000Z,39503.0
2017-09-06T00:00:00.000Z,42888.0
2017-09-07T00:00:00.000Z,37275.0
2017-09-08T00:00:00.000Z,37795.0
2017-09-09T00:00:00.000Z,39149.0
2017-09-10T00:00:00.000Z,38963.0
2017-09-11T00:00:00.000Z,37721.0
2017-09-12T00:00:00.000Z,36647.0
2017-09-13T00:00:00.000Z,35444.0
2017-09-14T00:00:00.000Z,38863.0
2017-09-15T00:00:00.000Z,45196.0
2017-09-16T00:00:00.000Z,41382.0
2017-09-17T00:00:00.000Z,37306.0
2017-09-18T00:00:00.000Z,40104.0
2017-09-19T00:00:00.000Z,36182.0
2017-09-20T00:00:00.000Z,34416.0
2017-09-21T00:00:00.000Z,35807.0
2017-09-22T00:00:00.000Z,33300.0
2017-09-23T00:00:00.000Z,31501.0
2017-09-24T00:00:00.000Z,32748.0
2017-09-25T00:00:00.000Z,33618.0
2017-09-26T00:00:00.000Z,34374.0
2017-09-27T00:00:00.000Z,36158.0
2017-09-28T00:00:00.000Z,39376.0
2017-09-29T00:00:00.000Z,34462.0
2017-09-30T00:00:00.000Z,35718.0
2017-10-01T00:00:00.000Z,32175.0
2017-10-02T00:00:00.000Z,34293.0
2017-10-03T00:00:00.000Z,32944.0
2017-10-04T00:00:00.000Z,32494.0
2017-10-05T00:00:00.000Z,34282.0
2017-10-06T00:00:00.000Z,33930.0
2017-10-07T00:00:00.000Z,33514.0
2017-10-08T00:00:00.000Z,33457.0
2017-10-09T00:00:00.000Z,34626.0
2017-10-10T00:00:00.000Z,35844.0
2017-10-11T00:00:00.000Z,44732.0
2017-10-12T00:00:00.000Z,44830.0
2017-10-13T00:00:00.000Z,38102.0
2017-10-14T00:00:00.000Z,55032.0
2017-10-15T00:00:00.000Z,57751.0
2017-10-16T00:00:00.000Z,38909.0
2017-10-17T00:00:00.000Z,40655.0
2017-10-18T00:00:00.000Z,36908.0
2017-10-19T00:00:00.000Z,37071.0
2017-10-20T00:00:00.000Z,36578.0
2017-10-21T00:00:00.000Z,37352.0
2017-10-22T00:00:00.000Z,36387.0
2017-10-23T00:00:00.000Z,38202.0
2017-10-24T00:00:00.000Z,38539.0
2017-10-25T00:00:00.000Z,35080.0
2017-10-26T00:00:00.000Z,37049.0
2017-10-27T00:00:00.000Z,36579.0
2017-10-28T00:00:00.000Z,34292.0
2017-10-29T00:00:00.000Z,35981.0
2017-10-30T00:00:00.000Z,37241.0
2017-10-31T00:00:00.000Z,38157.0
2017-11-01T00:00:00.000Z,39580.0
2017-11-02T00:00:00.000Z,36559.0
2017-11-03T00:00:00.000Z,38671.0
2017-11-04T00:00:00.000Z,40036.0
2017-11-05T00:00:00.000Z,39155.0
2017-11-06T00:00:00.000Z,43044.0
2017-11-07T00:00:00.000Z,37863.0
2017-11-08T00:00:00.000Z,36596.0
2017-11-09T00:00:00.000Z,34800.0
2017-11-10T00:00:00.000Z,38140.0
