DAY,BTC,ETC,EOS
238,142,3982796,1018625394
239,143,4002772,1023988767
240,144,4024101,1029279035
241,144,4047327,1034117619
242,144,4068572,1038931830
243,145,4090312,1044125456
244,145,4111314,1048928319
245,145,4132444,1053666316
246,145,4154102,1058014546
247,146,4176033,1062407037
248,146,4197884,1067050342
249,146,4219885,1072054835
250,146,4245586,1077196242
251,146,4269195,1082075200
252,146,4291430,1087560051
253,146,4313965,1092490487
254,146,4335244,1097111834
255,146,4356234,1102168344
256,147,4378340,1106944109
257,148,4402391,1111380049
258,148,4424734,1116045556
259,148,4447094,1120667432
260,148,4469771,1124755625
261,149,4491596,1129313124
262,150,4514768,1133837571
263,150,4537816,1138124144
264,150,4558867,1142410769
265,152,4579946,1146590648
266,153,4601309,1150705532
267,153,4622589,1154970191
268,153,4644968,1159313122
269,155,4667903,1163445394
270,155,4692568,1167579805
271,155,4716624,1171752714
272,156,4739636,1176066257
273,156,4762842,1179909181
274,156,4788036,1184040790
275,156,4813282,1188351889
276,158,4838917,1192399578
277,158,4866346,1196451721
278,158,4895411,1200922764
279,158,4919096,1205568569
280,158,4946672,1209601340
281,158,4976069,1213470520
282,159,5004324,1217615008
283,159,5032811,1221807898
284,159,5062564,1225867959
285,159,5091486,1230249385
286,160,5119017,1235052536
287,160,5147823,1239801647
288,161,5179792,1244380972
289,161,5208526,1249854113
290,162,5237564,1254965107
291,163,5264786,1260697532
292,164,5292611,1265976463
293,164,5318082,1271419003
294,165,5336831,1277062715
295,165,5362685,1282727204
296,165,5387425,1288000215
297,166,5412710,1293628088
298,166,5442179,1298921527
299,168,5472700,1304272042
300,168,5498719,1309255285
301,168,5525299,1314754681
302,168,5557071,1319476741
303,168,5585993,1324851391
304,168,5629959,1330349905
305,169,5675655,1335831920
306,169,5712018,1341257192
307,169,5745915,1346727894
308,169,5780121,1351816069
309,169,5812287,1357095294
310,169,5845144,1362789822
311,172,5879443,1368035879
312,178,5912058,1373429813
313,180,5941281,1379109707
314,181,5969713,1384127740
315,181,6002087,1388772724
316,181,6030669,1393471195
317,181,6060839,1398672791
318,181,6091020,1403964710
319,181,6128369,1409455451
320,183,6161738,1414822917
321,183,6191725,1420156640
322,183,6228143,1425434465
323,183,6255229,1430595279
324,183,6286844,1435852653
325,183,6312527,1441071088
326,183,6338222,1445579881
327,183,6362761,1449894616
328,183,6390161,1454362908
329,183,6420003,1458616330
330,183,6450219,1463746292
331,183,6479199,1468879427
332,184,6506432,1474666112
333,184,6531976,1480088764
334,184,6556841,1485282267
335,184,6582346,1490447780
336,185,6611856,1495556497
337,187,6639717,1500643027
338,188,6668094,1505448980
339,189,6695814,1510447071
340,202,6722569,1515408624
341,202,6750305,1520651624
342,204,6776755,1525769353
343,204,6803809,1530697140
344,204,6830989,1535718566
345,209,6860528,1540835353
346,212,6887204,1546182445
347,212,6915448,1551273610
348,215,6943650,1556353640
349,215,6971496,1561113640
350,216,6997805,1565822954
351,217,7026244,1570627020
352,217,7060573,1576110508
353,217,7107883,1581197172
354,217,7149911,1586370057
355,217,7183611,1591529853
356,218,7216513,1596735394
357,218,7250096,1601937979
358,219,7286433,1606802136
359,219,7319123,1611898951
360,219,7349353,1617502580
361,219,7380576,1623330222
362,219,7409776,1628988583
363,221,7436246,1634525851
364,221,7468657,1640046715
365,221,7501454,1645381321
366,223,7531691,1650746949
367,223,7561164,1656540875
368,223,7590087,1662095055
369,223,7619826,1667668268
370,223,7650501,1672982973
371,223,7679206,1678314105
372,223,7710615,1683637147
373,223,7739520,1689397009
374,225,7770773,1695600151
375,227,7810203,1701805865
376,229,7843163,1708249546
377,230,7882556,1714870651
378,231,7917871,1720918427
379,231,7954357,1727081628
380,232,7988534,1733016623
381,232,8021524,1739318019
382,232,8057558,1745653637
383,241,8090906,1751725045
384,244,8125608,1757522444
385,246,8160254,1763465296
386,247,8195904,1769359865
387,251,8230270,1774704991
388,257,8263726,1780438897
389,259,8299601,1786485057
390,261,8335358,1792926313
391,265,8368634,1798339845
392,269,8400908,1804831139
393,271,8435927,1811591891
394,280,8469756,1818039010
395,281,8509161,1824704537
396,283,8547029,1830011854
397,288,8580875,1835408645
398,292,8611280,1841954018
399,306,8647761,1847932317
400,311,8685091,1854895215
401,319,8722650,1862464825
402,322,8759809,1869779033
403,327,8795397,1877693547
404,332,8845630,1883603134
405,337,8890319,1890075811
406,340,8928251,1896014416
407,351,8968939,1901412970
408,360,9008442,1907444010
409,366,9051330,1913585371
410,377,9088605,1918709998
411,384,9126400,1924703167
412,387,9165549,1930488401
413,389,9204512,1935946822
414,393,9242233,1941407028
415,398,9278880,1947141058
416,399,9314324,1952657693
417,405,9353187,1958453562
418,409,9398383,1964270664
419,413,9439765,1969592435
420,416,9477071,1974543118
421,419,9517175,1979181439
422,423,9553357,1984531446
423,428,9587773,1989059543
424,434,9623580,1994009404
425,437,9656880,1999148552
426,439,9688381,2004471091
427,445,9721129,2009354541
428,449,9754747,2013933393
429,454,9789121,2018426437
430,456,9825279,2023948038
431,463,9864655,2029205667
432,466,9899117,2034455104
433,468,9934835,2039723890
434,469,9967010,2044693281
435,471,10001303,2049442647
436,476,10034247,2054830838
437,479,10066741,2059952703
438,482,10101023,2065522397
439,492,10134953,2071008485
440,500,10168467,2076481338
441,512,10201924,2081410175
442,520,10236550,2086407667
443,526,10272394,2091904573
444,539,10317126,2097640193
445,550,10361956,2103573135
446,565,10400058,2109551071
447,581,10455090,2115004146
448,588,10512841,2120397102
449,593,10551750,2125805485
450,605,10592405,2131572659
451,611,10629313,2137764474
452,618,10666384,2143882453
453,627,10702962,2149512957
454,632,10740314,2155325907
455,637,10776701,2161377462
456,649,10814903,2166908474
457,677,10853442,2172739600
458,692,10888522,2179132966
459,703,10925571,2185311458
460,718,10962150,2190947137
461,750,10996442,2196500776
462,791,11032423,2202182089
463,830,11069664,2207850287
464,875,11107821,2213425821
465,896,11147401,2219098373
466,971,11183960,2225168523
467,1012,11222631,2230608997
468,1043,11262667,2237404839
469,1073,11301822,2244213172
470,4182,11344866,2251387375
471,4223,11382729,2259105111
472,4261,11419325,2265153764
473,4295,11454125,2270733609
474,4334,11492265,2276081879
475,4384,11538830,2282030329
476,4418,11587375,2287500463
477,4463,11629224,2293010236
478,4512,11668242,2298863196
479,4564,11706342,2304504705
480,4612,11745131,2308497517
481,4644,11783279,2312147671
482,4669,11822244,2318363460
483,4697,11859275,2322484608
484,4724,11898259,2325975778
485,4751,11935274,2329742896
486,4791,11976662,2333943505
487,4817,12016410,2338722158
488,4847,12059003,2344399192
489,4873,12104383,2350364029
490,4898,12146628,2356415201
491,4940,12195172,2361985643
492,4967,12261089,2367947728
493,4986,12319720,2373649699
494,5019,12367916,2379224623
495,5057,12409661,2386638353
