time,TxCnt
2009-01-03T00:00:00.000Z,0.0
2009-01-04T00:00:00.000Z,0.0
2009-01-05T00:00:00.000Z,0.0
2009-01-06T00:00:00.000Z,0.0
2009-01-07T00:00:00.000Z,0.0
2009-01-08T00:00:00.000Z,0.0
2009-01-09T00:00:00.000Z,0.0
2009-01-10T00:00:00.000Z,0.0
2009-01-11T00:00:00.000Z,1.0
2009-01-12T00:00:00.000Z,6.0
2009-01-13T00:00:00.000Z,0.0
2009-01-14T00:00:00.000Z,1.0
2009-01-15T00:00:00.000Z,8.0
2009-01-16T00:00:00.000Z,2.0
2009-01-17T00:00:00.000Z,0.0
2009-01-18T00:00:00.000Z,1.0
2009-01-19T00:00:00.000Z,2.0
2009-01-20T00:00:00.000Z,1.0
2009-01-21T00:00:00.000Z,2.0
2009-01-22T00:00:00.000Z,1.0
2009-01-23T00:00:00.000Z,1.0
2009-01-24T00:00:00.000Z,1.0
2009-01-25T00:00:00.000Z,1.0
2009-01-26T00:00:00.000Z,1.0
2009-01-27T00:00:00.000Z,1.0
2009-01-28T00:00:00.000Z,0.0
2009-01-29T00:00:00.000Z,1.0
2009-01-30T00:00:00.000Z,0.0
2009-01-31T00:00:00.000Z,1.0
2009-02-01T00:00:00.000Z,1.0
2009-02-02T00:00:00.000Z,1.0
2009-02-03T00:00:00.000Z,16.0
2009-02-04T00:00:00.000Z,0.0
2009-02-05T00:00:00.000Z,0.0
2009-02-06T00:00:00.000Z,0.0
2009-02-07T00:00:00.000Z,4.0
2009-02-08T00:00:00.000Z,1.0
2009-02-09T00:00:00.000Z,1.0
2009-02-10T00:00:00.000Z,0.0
2009-02-11T00:00:00.000Z,2.0
2009-02-12T00:00:00.000Z,0.0
2009-02-13T00:00:00.000Z,0.0
2009-02-14T00:00:00.000Z,0.0
2009-02-15T00:00:00.000Z,3.0
2009-02-16T00:00:00.000Z,1.0
2009-02-17T00:00:00.000Z,0.0
2009-02-18T00:00:00.000Z,0.0
2009-02-19T00:00:00.000Z,1.0
2009-02-20T00:00:00.000Z,0.0
2009-02-21T00:00:00.000Z,0.0
2009-02-22T00:00:00.000Z,4.0
2009-02-23T00:00:00.000Z,0.0
2009-02-24T00:00:00.000Z,0.0
2009-02-25T00:00:00.000Z,0.0
2009-02-26T00:00:00.000Z,0.0
2009-02-27T00:00:00.000Z,1.0
2009-02-28T00:00:00.000Z,1.0
2009-03-01T00:00:00.000Z,0.0
2009-03-02T00:00:00.000Z,0.0
